"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LEF1",2.01721474573507e-134,2.9013369147636,0.547,0.091,4.08001854472376e-130,"0","LEF1"
"RPS27",3.5339492232619e-134,0.748594772072764,0.994,0.99,7.14776569896952e-130,"0","RPS27"
"RPS12",7.74121550229675e-122,0.71994339166931,0.992,0.988,1.56573824749454e-117,"0","RPS12"
"RPS6",2.8002616386663e-118,0.67377882725273,0.989,0.993,5.66380919036646e-114,"0","RPS6"
"RPL32",6.83241978175842e-117,0.616929213717362,0.992,0.993,1.38192522505846e-112,"0","RPL32"
"CCR7",8.98934888021344e-115,2.76667420456082,0.507,0.092,1.81818570451197e-110,"0","CCR7"
"RPS25",1.3678032423531e-114,0.779887174115279,0.991,0.974,2.76651883798338e-110,"0","RPS25"
"RPL31",1.49572707253511e-114,0.803910033114857,0.987,0.959,3.02525757690952e-110,"0","RPL31"
"RPS14",8.60826046045226e-110,0.608919125219789,0.991,0.991,1.74110676073108e-105,"0","RPS14"
"LDHB",2.21737868086266e-107,1.25875573016112,0.896,0.516,4.48487011991282e-103,"0","LDHB"
"RPS29",6.11753071688026e-103,0.775006491854111,0.983,0.949,1.2373317627962e-98,"0","RPS29"
"RPS3A",1.44038558497855e-99,0.798190209855596,0.987,0.968,2.91332388417761e-95,"0","RPS3A"
"RPL9",2.27134587093767e-99,0.753923920504012,0.989,0.961,4.59402415855853e-95,"0","RPL9"
"RPLP2",2.89332144490191e-99,0.611222477609606,0.997,0.985,5.8520319544586e-95,"0","RPLP2"
"RPS15A",1.07971894099035e-97,0.654639048643801,0.989,0.978,2.18383953004708e-93,"0","RPS15A"
"RPL13",7.34160455750607e-97,0.556436368543772,0.995,0.993,1.48491293780118e-92,"0","RPL13"
"RPL3",2.83831377737882e-96,0.620869862053254,0.983,0.991,5.7407734461264e-92,"0","RPL3"
"MALAT1",8.57128063141394e-94,0.741520069244854,1,0.994,1.73362722050978e-89,"0","MALAT1"
"TRAC",1.88552989052284e-93,1.17475229133876,0.918,0.388,3.8136727565715e-89,"0","TRAC"
"RPL30",1.83620729803978e-92,0.667439659018558,0.989,0.974,3.71391288101527e-88,"0","RPL30"
"RPL21",5.02896485554492e-92,0.648415884507417,0.984,0.985,1.01715843168252e-87,"0","RPL21"
"RPS13",2.13082925001014e-90,0.753320882418957,0.976,0.948,4.30981524107052e-86,"0","RPS13"
"RPS3",1.73788594916742e-87,0.57172473390191,0.989,0.989,3.51504812078602e-83,"0","RPS3"
"RPS28",5.48661995911153e-86,0.598523222642159,0.989,0.977,1.1097237529299e-81,"0","RPS28"
"RPS27A",3.52579830575725e-82,0.703073008130695,0.986,0.954,7.13127965322461e-78,"0","RPS27A"
"BCL11B",8.53369657662297e-82,1.79439721476089,0.602,0.203,1.72602546958776e-77,"0","BCL11B"
"RPS23",9.02697679423002e-82,0.588120474407337,0.991,0.973,1.82579632640096e-77,"0","RPS23"
"CD3D",1.39871985157435e-80,1.14871356822096,0.848,0.366,2.82905077179427e-76,"0","CD3D"
"TSHZ2",6.89203541345203e-77,2.94156386827489,0.332,0.053,1.39398308272481e-72,"0","TSHZ2"
"EEF1A1",9.29394141007168e-77,0.495843365378419,0.989,0.991,1.8797925896011e-72,"0","EEF1A1"
"RPL27A",1.40616658599824e-75,0.521890892602995,0.989,0.981,2.84411253684003e-71,"0","RPL27A"
"RPS18",3.97696426299735e-75,0.488094637509105,0.994,0.994,8.04380791833844e-71,"0","RPS18"
"MAML2",5.75545829113311e-75,1.77236921493105,0.652,0.284,1.16409899396458e-70,"0","MAML2"
"RPS16",3.45297929563584e-73,0.557756928833858,0.991,0.974,6.98399592335304e-69,"0","RPS16"
"CAMK4",4.56268022466924e-73,2.20208552323352,0.507,0.158,9.228477022416e-69,"0","CAMK4"
"RPL11",4.70121466354356e-73,0.440493027683188,0.987,0.991,9.50867677848321e-69,"0","RPL11"
"RPL35A",9.5473523340417e-73,0.564771368268908,0.989,0.973,1.93104748308327e-68,"0","RPL35A"
"SARAF",1.02230265480928e-72,0.981160231999773,0.921,0.732,2.06770934961726e-68,"0","SARAF"
"FHIT",1.62480809539211e-72,2.54269615890876,0.387,0.088,3.28633685374008e-68,"0","FHIT"
"RPS20",1.90037066872971e-72,0.681935439080808,0.979,0.93,3.8436897145727e-68,"0","RPS20"
"RPL13A",3.89847699624593e-72,0.44701832430452,0.994,0.994,7.88505957260703e-68,"0","RPL13A"
"TPT1",5.91219434579103e-70,0.560512625339825,0.984,0.975,1.19580042837969e-65,"0","TPT1"
"RPS4X",9.90948386083639e-69,0.506537958906147,0.983,0.988,2.00429220569277e-64,"0","RPS4X"
"PIK3IP1",3.59741768387251e-68,1.80038751915033,0.531,0.182,7.27613700740054e-64,"0","PIK3IP1"
"RPL19",2.59821926611726e-67,0.411899556462991,0.992,0.989,5.25515828764878e-63,"0","RPL19"
"GAS5",3.30958787937266e-67,1.24129987319459,0.855,0.581,6.69397244481914e-63,"0","GAS5"
"RPL5",1.92941489192949e-66,0.606163618297567,0.975,0.957,3.90243456041658e-62,"0","RPL5"
"EEF1G",7.74728283034416e-66,0.598172105649859,0.975,0.969,1.56696542526541e-61,"0","EEF1G"
"RPL23A",8.01823714532739e-66,0.505575250382494,0.994,0.983,1.62176864501392e-61,"0","RPL23A"
"NELL2",1.23551648141105e-65,2.59023607863731,0.313,0.056,2.49895563530199e-61,"0","NELL2"
"CD3E",5.35542167657478e-65,1.209745035605,0.728,0.329,1.08318758830401e-60,"0","CD3E"
"PRKCA",6.29320056748269e-65,2.05344260239572,0.469,0.149,1.27286274677905e-60,"0","PRKCA"
"APBA2",2.01938137691698e-62,2.52411242839584,0.3,0.053,4.08440077295227e-58,"0","APBA2"
"TCF7",4.0593168096315e-62,1.77425180411654,0.453,0.141,8.21037417916067e-58,"0","TCF7"
"LEPROTL1",7.71006193461609e-62,1.52480078415653,0.591,0.252,1.55943712689545e-57,"0","LEPROTL1"
"NPM1",2.60001431644212e-60,0.83260914742571,0.916,0.763,5.25878895643583e-56,"0","NPM1"
"PRKCQ-AS1",3.21119458508673e-60,2.18461803890496,0.39,0.105,6.49496216779642e-56,"0","PRKCQ-AS1"
"NOSIP",6.17651708931397e-60,1.44339249685594,0.646,0.317,1.24926234648464e-55,"0","NOSIP"
"PCED1B-AS1",5.40785678505974e-59,1.20044227638739,0.731,0.376,1.09379311334618e-54,"0","PCED1B-AS1"
"NDFIP1",6.3270164156944e-59,1.50311407863944,0.635,0.311,1.27970234023835e-54,"0","NDFIP1"
"RPSA",4.07730800926619e-57,0.58323622548176,0.975,0.93,8.2467631795418e-53,"0","RPSA"
"MAL",6.94844953782915e-57,2.5594710962851,0.316,0.07,1.40539340352132e-52,"0","MAL"
