"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NKG7",3.58323335613284e-159,-6.80765889383778,0.057,0.913,7.24744778611428e-155
"CCL5",7.95045029861084e-158,-4.61961659509788,0.092,0.96,1.60805807739703e-153
"CST7",4.82457353682088e-126,-6.42584637752079,0.021,0.742,9.75818243557392e-122
"GZMA",1.00124252781058e-118,-5.4076310679871,0.041,0.742,2.02511313674967e-114
"B2M",3.39231436618183e-85,-0.814441278191173,0.998,1,6.86129503703938e-81
"GZMK",6.54862148280275e-84,-5.62015051674317,0.024,0.556,1.32452418111168e-79
"CTSW",4.79782115478655e-78,-3.0965941079715,0.243,0.78,9.70407306767127e-74
"RPL32",1.63090882411322e-69,0.690506112334794,0.992,1,3.29867618765139e-65
"HLA-C",2.00817083102784e-65,-1.11242483085123,0.959,0.988,4.06172632283691e-61
"S100A4",6.83498249815637e-65,-1.80706565987779,0.603,0.919,1.38244356007711e-60
"TRGC2",7.96540146403414e-64,-4.77142847736954,0.025,0.463,1.61108210011555e-59
"MYO1F",2.99120855190219e-62,-3.46753238761483,0.063,0.528,6.05001841707737e-58
"LYAR",1.37135636297061e-60,-2.701370046828,0.096,0.559,2.77370537974435e-56
"RPS27",3.14470474903693e-60,0.566860255243578,0.994,1,6.36047982540209e-56
"PRF1",3.85294125644722e-59,-5.01044606498112,0.027,0.432,7.79295898529015e-55
"HOPX",9.24079933585099e-59,-5.15296798750425,0.014,0.407,1.86904407366922e-54
"GZMH",2.93491149493093e-52,-6.27164665674874,0.011,0.357,5.93615198964729e-48
"KLRG1",2.53998781756528e-50,-2.60369190359255,0.052,0.435,5.13737935980754e-46
"LEF1",5.61483944720864e-48,3.93377989880913,0.547,0.053,1.13565742659242e-43
"RPS6",1.70138702074783e-47,0.492219594255591,0.989,0.997,3.44122538816457e-43
"RPS12",3.28529711147344e-46,0.513548231421892,0.992,1,6.64484193766619e-42
"CLIC1",3.54961832623289e-46,-1.82653748138862,0.281,0.686,7.17945802663865e-42
"RPS23",3.95244718335822e-46,0.616179560159948,0.991,0.988,7.99421967306034e-42
"RPL11",7.1261958391322e-46,0.503951058937997,0.987,0.997,1.44134437042288e-41
"CYBA",8.76129779769136e-46,-1.49671286766254,0.645,0.876,1.77206009256105e-41
"LINC00987",1.07771804069405e-45,-3.3298671789641,0.074,0.45,2.17979250910779e-41
"HLA-A",2.16001479830044e-45,-0.83027584147532,0.954,0.981,4.36884593104247e-41
"CCR7",2.45847636038613e-44,3.80364777379005,0.507,0.04,4.97251428651698e-40
"CCL4",2.41738500700396e-43,-5.86323617279381,0.008,0.298,4.8894029151662e-39
"RPS13",3.75226352554537e-43,0.758023572083756,0.976,0.957,7.58932820676806e-39
"RPLP2",4.0996068621686e-43,0.510073239649747,0.997,0.997,8.29186483942221e-39
"RPS14",5.31191195040756e-43,0.498124359814482,0.991,1,1.07438731108943e-38
"AOAH",8.30993071260911e-43,-2.68402001596366,0.163,0.55,1.68076658593232e-38
"SH3BGRL3",9.49190853498201e-43,-1.24293340589711,0.709,0.904,1.91983342028546e-38
"RPS28",5.03021325113245e-42,0.620669220394857,0.989,0.981,1.01741093217405e-37
"RPS25",5.01134451518403e-41,0.553922617733655,0.991,0.991,1.01359454164112e-36
"RPL31",5.80574771907622e-41,0.591453297189158,0.987,0.991,1.17427053366036e-36
"APOBEC3G",8.81977010669019e-41,-2.90526391321384,0.1,0.457,1.78388670177916e-36
"HLA-B",3.05938119353826e-40,-0.793775325139072,0.891,0.963,6.18790440205048e-36
"IL32",1.01061093387619e-39,-1.14397183468276,0.744,0.929,2.04406167485798e-35
"RPL30",1.08316840164981e-38,0.536673300688379,0.989,0.984,2.1908164091769e-34
