"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ANXA1",4.66370786347281e-11,0.813561900148955,0.61,0.319,9.4328155246601e-07,"0","ANXA1"
"FOS",1.29830817505378e-09,0.495388746789922,0.938,0.795,2.62595811486378e-05,"0","FOS"
"UBC",1.09592438630414e-08,0.45882317559397,0.901,0.745,0.000221661666373875,"0","UBC"
"CRIP1",2.27474514761336e-08,0.936424949609901,0.581,0.377,0.000460089953556278,"0","CRIP1"
"H3-3B",3.2019853400189e-08,0.300884647297678,0.982,0.903,0.000647633554872224,"0","H3-3B"
"KLF6",3.376566332854e-08,0.754191804647379,0.618,0.382,0.000682944306483049,"0","KLF6"
"DUSP1",1.81060903110795e-07,0.469992193425265,0.919,0.751,0.00366213782631893,"0","DUSP1"
"JUNB",3.177128891312e-07,0.337271593428343,0.971,0.837,0.00642606089556765,"0","JUNB"
"CD37",4.91446729893234e-07,0.494699308343029,0.787,0.571,0.00994000155882055,"0","CD37"
"JUN",9.61357660229779e-07,0.447741362117585,0.86,0.676,0.0194444200358075,"0","JUN"
"YWHAQ",1.23016905726279e-06,0.88543446303344,0.316,0.147,0.0248813993521972,"0","YWHAQ"
"TAGAP",1.42268314977475e-06,0.921405509222686,0.349,0.18,0.028775189387344,"0","TAGAP"
"SRGN",2.23661720207072e-06,0.68332344013216,0.713,0.501,0.0452378195290823,"0","SRGN"
"ITM2A",2.57805618503016e-06,1.58926138059748,0.268,0.116,0.05214376439842,"0","ITM2A"
"TAGLN2",3.48123441954316e-06,0.682108480610535,0.46,0.266,0.0704114473696799,"0","TAGLN2"
"VIM",3.53523216716526e-06,0.600918195806082,0.838,0.726,0.0715036058130846,"0","VIM"
"GAPDH",7.41332062924887e-06,0.456821444916284,0.838,0.676,0.149941823047188,"0","GAPDH"
"S100A11",1.17672834524945e-05,0.993028841988245,0.309,0.161,0.238005075110153,"0","S100A11"
"ACTB",1.63971006695545e-05,0.388112067639058,0.996,0.958,0.33164775814241,"0","ACTB"
"NBDY",2.00689675753181e-05,0.606664508803668,0.379,0.199,0.405914938178383,"0","NBDY"
"TSHZ2",2.16886010012026e-05,0.504259679724653,0.438,0.252,0.438673643850323,"0","TSHZ2"
"DDX21",6.16858066806321e-05,0.854782521190459,0.25,0.122,1,"0","DDX21"
"PKM",9.88210945144263e-05,0.562429372566039,0.463,0.291,1,"0","PKM"
"TSPO",0.000165573298397496,0.519855156475253,0.39,0.23,1,"0","TSPO"
"ATP5PB",0.000184208166841229,0.617638787990492,0.397,0.241,1,"0","ATP5PB"
"HNRNPDL",0.000197087992509678,0.538642192339502,0.695,0.529,1,"0","HNRNPDL"
"ARPC5",0.000207093332186537,0.434768718381902,0.544,0.366,1,"0","ARPC5"
"SIVA1",0.000223839712256206,1.27697204159919,0.272,0.144,1,"0","SIVA1"
"SKP1",0.000256530615586447,0.418537470789529,0.581,0.402,1,"0","SKP1"
"UBE2L3",0.000283152713277604,0.426796927937786,0.357,0.213,1,"0","UBE2L3"
